Pin,MC,Channel,TYPE,SubChannel,Partition,Nibble,Lane,Bit,Rank,PinName,FieldName,Field,Size,Base,Codification,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_Version,M0_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_Type,M0_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_StartAddr,M0_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,DATA,x,x,x,x,x,x,x,STATUSDATA,M0_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_Version,M1_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_Type,M1_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_StartAddr,M1_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,DATA,x,x,x,x,x,x,x,STATUSDATA,M1_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_Version,M2_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_Type,M2_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_StartAddr,M2_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,DATA,x,x,x,x,x,x,x,STATUSDATA,M2_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_Version,M3_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_Type,M3_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_StartAddr,M3_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,DATA,x,x,x,x,x,x,x,STATUSDATA,M3_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_Version,M4_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_Type,M4_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_StartAddr,M4_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,DATA,x,x,x,x,x,x,x,STATUSDATA,M4_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_Version,M5_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_Type,M5_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_StartAddr,M5_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,DATA,x,x,x,x,x,x,x,STATUSDATA,M5_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_Version,M6_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_Type,M6_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_StartAddr,M6_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,DATA,x,x,x,x,x,x,x,STATUSDATA,M6_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_Version,M7_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_Type,M7_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_StartAddr,M7_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,DATA,x,x,x,x,x,x,x,STATUSDATA,M7_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,leftedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,rightedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,topedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,botedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,hmargin,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,hcenter,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,vmargin,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,vcenter,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,leftedge,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,rightedge,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,topedge,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,botedge,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,hmargin,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,hcenter,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,vmargin,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,0,1,x,x,DQ1,vcenter,M0_A_0_0_1_DQ1,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,leftedge,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,rightedge,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,topedge,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,botedge,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,hmargin,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,hcenter,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,vmargin,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,0,2,x,x,DQ2,vcenter,M0_A_0_0_2_DQ2,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,leftedge,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,rightedge,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,topedge,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,botedge,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,hmargin,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,hcenter,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,vmargin,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,0,3,x,x,DQ3,vcenter,M0_A_0_0_3_DQ3,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,leftedge,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,rightedge,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,topedge,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,botedge,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,hmargin,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,hcenter,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,vmargin,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,1,4,x,x,DQ4,vcenter,M0_A_0_1_4_DQ4,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,leftedge,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,rightedge,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,topedge,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,botedge,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,hmargin,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,hcenter,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,vmargin,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,1,5,x,x,DQ5,vcenter,M0_A_0_1_5_DQ5,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,leftedge,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,rightedge,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,topedge,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,botedge,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,hmargin,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,hcenter,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,vmargin,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,1,6,x,x,DQ6,vcenter,M0_A_0_1_6_DQ6,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,leftedge,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,rightedge,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,topedge,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,botedge,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,hmargin,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,hcenter,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,vmargin,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,0,1,7,x,x,DQ7,vcenter,M0_A_0_1_7_DQ7,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,leftedge,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,rightedge,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,topedge,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,botedge,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,hmargin,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,hcenter,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,vmargin,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,0,0,x,x,DQ8,vcenter,M0_A_1_0_0_DQ8,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,leftedge,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,rightedge,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,topedge,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,botedge,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,hmargin,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,hcenter,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,vmargin,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,0,1,x,x,DQ9,vcenter,M0_A_1_0_1_DQ9,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,leftedge,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,rightedge,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,topedge,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,botedge,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,hmargin,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,hcenter,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,vmargin,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,0,2,x,x,DQ10,vcenter,M0_A_1_0_2_DQ10,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,leftedge,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,rightedge,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,topedge,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,botedge,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,hmargin,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,hcenter,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,vmargin,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,0,3,x,x,DQ11,vcenter,M0_A_1_0_3_DQ11,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,leftedge,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,rightedge,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,topedge,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,botedge,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,hmargin,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,hcenter,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,vmargin,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,1,4,x,x,DQ12,vcenter,M0_A_1_1_4_DQ12,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,leftedge,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,rightedge,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,topedge,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,botedge,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,hmargin,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,hcenter,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,vmargin,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
TDO,M0,0,DATA,A,1,1,5,x,x,DQ13,vcenter,M0_A_1_1_5_DQ13,16,-,2Comp,-,-,-,-,-,2.0,VCENTER_DATA,DQVCTR
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,leftedge,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,rightedge,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,topedge,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,-,-,2.0,TOPEDGE_DATA,DQTOP
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,botedge,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,-,-,2.0,BOTEDGE_DATA,DQBOT
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,hmargin,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,5,64,2.0,HMARGIN_DATA,DQHMAR
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,hcenter,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,-,-,2.0,HCENTER_DATA,DQHCTR
TDO,M0,0,DATA,A,1,1,6,x,x,DQ14,vmargin,M0_A_1_1_6_DQ14,16,-,2Comp,-,-,-,5,150,2.0,VMARGIN_DATA,DQVMAR
