Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,A,0,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_A_0_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,0,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_A_0_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,1,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_A_1_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,1,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_A_1_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,2,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_A_2_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,2,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_A_2_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,3,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_A_3_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,3,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_A_3_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,4,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_A_4_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,A,4,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_A_4_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,B,0,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_B_0_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,B,0,1,sa_voc_idac_vctrl,ddrd_n1_rx_ctl1,M0_B_0_1_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
TDO,M0,DATA,-,-,B,1,0,sa_voc_idac_vctrl,ddrd_n0_rx_ctl1,M0_B_1_0_SaVocIdacVctrl,6,-,-,-,-,15,60,0,RXDQSCODES_DATA,RXDQSCODEDAT
